0, -3081.061139, -3081.061139, -3081.061139, -3081.061139
1, -24657.965509, -31125.430007, -65929.918138, -25177.497609
2, -40164.501491, -44614.473020, -65931.733333, -40095.205150
3, -43899.156276, -60358.974082, -65931.733333, -44478.859778
4, -48120.942168, -73885.273664, -65931.733333, -48464.705757
5, -48721.058240, -90731.177223, -65931.733333, -50022.060568
6, -51138.649854, -97522.071890, -65931.733333, -54528.625113
7, -54408.124950, -108576.246764, -65931.733333, -55829.661308
8, -54806.657225, -112968.526160, -65931.733333, -57836.143143
9, -55977.337124, -118920.109733, -65931.733333, -61156.686484
10, -57511.022092, -127846.912315, -65931.733333, -63942.500930
11, -58453.548788, -128266.068610, -65931.733333, -65829.299781
12, -58453.548788, -132568.925610, -65931.733333, -66835.478118
13, -59561.485949, -133241.307053, -65931.733333, -67564.889863
14, -59561.485949, -133241.307053, -65931.733333, -68026.450971
15, -60453.111439, -133241.307053, -65931.733333, -68833.343239
16, -61971.978673, -134766.897404, -65931.733333, -70031.878166
17, -62613.599092, -138318.897404, -65931.733333, -70474.614407
18, -64485.653061, -141233.259794, -65931.733333, -70580.827614
19, -64855.150190, -141233.259794, -65931.733333, -71064.385002
20, -65125.317974, -141865.407114, -65931.733333, -72449.636022
21, -65463.300522, -143244.679638, -65931.733333, -73090.802531
22, -68121.575646, -147126.146305, -65931.733333, -73379.160753
23, -69326.985820, -147630.210333, -65931.733333, -73379.160753
24, -69737.135451, -147630.210333, -65931.733333, -73962.106813
25, -69749.117212, -149493.650234, -65931.733333, -74129.076511
26, -69786.325694, -152309.577709, -65931.733333, -74129.076511
27, -69786.325694, -155101.991254, -65931.733333, -74856.622105
28, -69786.325694, -155150.431286, -65931.733333, -75545.964041
29, -69986.550767, -155150.431286, -65931.733333, -77341.592582
30, -69986.550767, -156080.196160, -65931.733333, -77593.779180
31, -70593.769081, -159991.281741, -65931.733333, -77943.364759
32, -70593.769081, -161540.919352, -65931.733333, -77943.364759
33, -70870.589500, -161829.000730, -65931.733333, -77943.364759
34, -71049.100859, -162135.920134, -65931.733333, -78320.981350
35, -71475.389500, -162135.920134, -65931.733333, -78990.428064
36, -71497.594825, -164170.040602, -65931.733333, -79278.577035
37, -72549.145647, -167926.310941, -65931.733333, -79605.580140
38, -72617.042039, -168463.696230, -65931.733333, -79649.631957
39, -72776.390713, -168463.696230, -65931.733333, -80340.258591
40, -72977.308607, -172487.188373, -65931.733333, -80784.743643
41, -74174.960263, -172487.188373, -65931.733333, -82464.588042
42, -74635.449494, -172487.188373, -65931.733333, -83023.565988
43, -74635.449494, -172487.188373, -65931.733333, -83023.565988
44, -74635.449494, -172487.188373, -65931.733333, -83023.565988
45, -76104.560263, -172487.188373, -65931.733333, -83023.565988
46, -76104.560263, -175648.655040, -65931.733333, -83023.565988
47, -76104.560263, -175796.692650, -65931.733333, -83926.053076
48, -76916.545682, -177514.194231, -65931.733333, -84577.690459
49, -76916.545682, -178139.118162, -65931.733333, -84682.595012
50, -76916.545682, -178139.118162, -65931.733333, -85512.224823
51, -76926.012348, -178139.118162, -65931.733333, -85669.495037
52, -76926.012348, -178139.118162, -65931.733333, -85669.495037
53, -78212.412348, -178139.118162, -65931.733333, -85712.835007
54, -78212.412348, -180002.355293, -65931.733333, -86958.540665
55, -78984.355503, -182128.638722, -65931.733333, -87740.930626
56, -78984.355503, -182398.838647, -65931.733333, -88948.082798
57, -79452.501615, -182398.838647, -65931.733333, -90193.041634
58, -80737.683314, -184846.687707, -65931.733333, -91408.079251
59, -80737.683314, -184846.687707, -65931.733333, -91795.940347
60, -81794.619561, -186571.574028, -65931.733333, -92156.101745
61, -81794.619561, -187092.906595, -65931.733333, -93043.255613
62, -82260.079591, -187092.906595, -65931.733333, -93465.994296
63, -82528.879591, -187092.906595, -65931.733333, -93715.902006
64, -82855.279591, -188067.087542, -65931.733333, -94285.445282
65, -82942.574951, -188067.087542, -65931.733333, -95543.045282
66, -83220.279585, -188067.087542, -65931.733333, -95850.245282
67, -83220.279585, -188653.906356, -65931.733333, -97093.575995
68, -83220.279585, -188653.906356, -65931.733333, -97696.840440
69, -83220.279585, -188653.906356, -65931.733333, -98399.894328
70, -83220.279585, -189405.412265, -65931.733333, -99621.226359
71, -83699.343465, -190059.926018, -65931.733333, -101279.772471
72, -83699.343465, -190059.926018, -65931.733333, -101468.243141
73, -83699.343465, -190059.926018, -65931.733333, -101756.243141
74, -83699.343465, -190059.926018, -65931.733333, -102053.843141
75, -83699.343465, -190059.926018, -65931.733333, -103762.254972
76, -83699.343465, -190059.926018, -65931.733333, -104111.460470
77, -83699.343465, -190059.926018, -65931.733333, -104814.514358
78, -83699.343465, -191996.193451, -65931.733333, -105486.007678
79, -83699.343465, -191996.193451, -65931.733333, -105486.007678
80, -83943.708612, -191996.193451, -65931.733333, -106090.807678
81, -84202.908612, -191996.193451, -65931.733333, -106090.807678
82, -85066.908612, -191996.193451, -65931.733333, -107805.120726
83, -85066.908612, -191996.193451, -65931.733333, -108239.519068
84, -85066.908612, -191996.193451, -65931.733333, -108817.780756
85, -85066.908612, -191996.193451, -65931.733333, -111102.580756
86, -85425.096719, -191996.193451, -65931.733333, -112849.077222
87, -85825.905889, -192986.393377, -65931.733333, -113026.448256
88, -86507.505889, -192986.393377, -65931.733333, -114309.936748
89, -86507.505889, -192986.393377, -65931.733333, -114331.414178
90, -87387.787751, -193627.944996, -65931.733333, -115704.462633
91, -88087.120482, -193627.944996, -65931.733333, -115898.475865
92, -88959.997634, -194542.959191, -65931.733333, -116744.313054
