Function Evaluations,Average
20,0.15601565467
40,0.163462492255
60,0.16989476709
80,0.180280498709
100,0.186822217988
120,0.19410847364
140,0.199715103049
160,0.206815498165
180,0.213066186816
200,0.220173569536
220,0.224181027976
240,0.230373559181
260,0.239758901077
280,0.246332120798
300,0.253061253273
320,0.257547405863
340,0.260673213329
360,0.266808724186
380,0.272325949288
400,0.277984000829
420,0.280713298389
440,0.284868312076
460,0.287346824091
480,0.29187123867
500,0.297178948776
520,0.301865345518
540,0.304082021219
560,0.308710423458
580,0.311742580656
600,0.31525541018
620,0.321725178357
640,0.326435684646
660,0.328973934779
680,0.335188949119
700,0.339979610463
720,0.345554605953
740,0.348216722809
760,0.351895955213
780,0.355713495153
800,0.361545634041
820,0.367813318744
840,0.371644246475
860,0.373492320155
880,0.378018173439
900,0.382257443649
920,0.38458006318
940,0.389728168649
960,0.392613716797
980,0.396653855824
1000,0.398916350911
1020,0.399150563764
1040,0.400242593661
1060,0.405468429967
1080,0.409208811324
1100,0.413098941681
1120,0.416513272626
1140,0.420077616376
1160,0.422503480857
1180,0.426214276442
1200,0.429085340392
1220,0.43331887408
1240,0.436094337503
1260,0.437363009538
1280,0.438057900735
1300,0.439006467844
1320,0.440007990893
1340,0.44089661045
1360,0.441644642649
1380,0.442779334027
1400,0.44764539219
1420,0.450147640954
1440,0.452328173197
1460,0.454567454635
1480,0.456749064919
1500,0.457136135034
1520,0.458753610176
1540,0.459635246755
1560,0.462835164797
1580,0.464297607436
1600,0.468131654118
1620,0.470022140081
1640,0.472371209497
1660,0.472779572168
1680,0.473898380702
1700,0.475162179252
1720,0.47982487408
1740,0.47982726777
1760,0.480018221634
1780,0.48182042884
1800,0.484421874967
1820,0.486369859658
1840,0.488059889776
1860,0.490572485599
1880,0.492019663422
1900,0.493328120396
1920,0.494334176119
1940,0.496543194861
1960,0.496543194861
1980,0.497129033747
2000,0.498741254803
2020,0.502386502735
2040,0.505195890875
2060,0.505629549045
2080,0.507361024209
2100,0.508152531285
2120,0.508865053729
2140,0.509371210844
2160,0.509371210844
2180,0.509389693281
2200,0.509916380404
2220,0.511424292743
2240,0.512422963415
2260,0.513456430964
2280,0.514299881829
2300,0.516007841131
2320,0.519237652011
2340,0.519256272003
2360,0.519414926354
2380,0.519414926354
2400,0.519414926354
2420,0.521469868145
2440,0.523599222439
2460,0.523599222439
2480,0.524565626329
2500,0.525992273508
2520,0.525992273508
2540,0.525992273508
2560,0.5275797145
2580,0.527613019205
2600,0.527613019205
2620,0.528103640544
2640,0.529841870915
2660,0.531067885566
2680,0.531107150224
2700,0.533327388162
2720,0.533879330334
2740,0.534690863073
2760,0.534878277142
2780,0.535427243287
2800,0.535889169792
2820,0.537299207918
2840,0.538943417523
2860,0.541572169916
2880,0.542017766732
2900,0.542691866316
2920,0.542736657331
2940,0.542948382403
2960,0.543611707485
2980,0.54435621248
3000,0.54435621248
3020,0.544917691898
3040,0.545019343008
3060,0.545019343008
3080,0.545019343008
3100,0.545092340938
3120,0.546991230977
3140,0.547011763098
3160,0.547184759469
3180,0.548403628692
3200,0.548579948711
3220,0.549020261025
3240,0.549020261025
3260,0.550764422171
3280,0.550764422171
3300,0.551939440924
3320,0.552047056044
3340,0.552047056044
3360,0.553054670111
3380,0.553731531434
3400,0.554954388747
3420,0.556395950695
3440,0.559471938266
3460,0.559471938266
3480,0.559471938266
3500,0.559597822594
3520,0.559861118904
3540,0.559861118904
3560,0.559861118904
3580,0.56054654073
3600,0.560857688604
3620,0.560857688604
3640,0.561803108908
3660,0.561957477199
3680,0.563249289429
3700,0.563249289429
3720,0.56354839301
3740,0.564741698347
3760,0.565450916277
3780,0.565649281873
3800,0.565649281873
3820,0.566284840543
3840,0.567094448414
3860,0.567094448414
3880,0.567383300184
3900,0.567383300184
3920,0.567488878532
3940,0.567758800443
3960,0.568139812406
3980,0.56821358008
4000,0.568334178336
