Function Evaluations,Average
20,0.156406778995
40,0.167111900706
60,0.173926401121
80,0.183783946791
100,0.196995751378
120,0.202691709092
140,0.20985090891
160,0.222621500767
180,0.233340669265
200,0.24379072817
220,0.254122795878
240,0.26664883534
260,0.278529803503
280,0.284674254113
300,0.295013652332
320,0.305685702767
340,0.317690381509
360,0.329056133514
380,0.337353375328
400,0.349280257417
420,0.36008583009
440,0.362527943994
460,0.369116018251
480,0.376973183596
500,0.383979496349
520,0.396380160147
540,0.401811993812
560,0.405601016228
580,0.410967253815
600,0.4147573892
620,0.424168296235
640,0.428363082683
660,0.435850498559
680,0.445062219765
700,0.450731254626
720,0.455293588713
740,0.45960961296
760,0.463571003109
780,0.469214130504
800,0.472646872685
820,0.478925989635
840,0.482812700433
860,0.487558694921
880,0.491895791995
900,0.496264164277
920,0.500084476908
940,0.504472680923
960,0.506332849427
980,0.512534274678
1000,0.519451994755
1020,0.523159985094
1040,0.52742619398
1060,0.532499370521
1080,0.538243007877
1100,0.541142581955
1120,0.54740885801
1140,0.549649506638
1160,0.554141759677
1180,0.555467515302
1200,0.557402522377
1220,0.559747096557
1240,0.562275887921
1260,0.565369611907
1280,0.56879980717
1300,0.570708627413
1320,0.573305888965
1340,0.573843905461
1360,0.575707232398
1380,0.57770767813
1400,0.582562761196
1420,0.58315673091
1440,0.586316352897
1460,0.587682271758
1480,0.591207567302
1500,0.591486469952
1520,0.593279858665
1540,0.595349355179
1560,0.595349355179
1580,0.598188277099
1600,0.599788005792
1620,0.601229993294
1640,0.602140007237
1660,0.606638845046
1680,0.608042253472
1700,0.609326383427
1720,0.610741662277
1740,0.613186499432
1760,0.614099463794
1780,0.616111235299
1800,0.619692653477
1820,0.621165389587
1840,0.624398873737
1860,0.62638371048
1880,0.62740308851
1900,0.628291586433
1920,0.628464088691
1940,0.632814857713
1960,0.633412114127
1980,0.633518097977
2000,0.637077090638
2020,0.637965077595
2040,0.638521323762
2060,0.639433275188
2080,0.640733653546
2100,0.641812737359
2120,0.644018447111
2140,0.644082390299
2160,0.64415961127
2180,0.645363525324
2200,0.645586699804
2220,0.645653172005
2240,0.646922231957
2260,0.647865567836
2280,0.648771572804
2300,0.648795854907
2320,0.649231457256
2340,0.649549948307
2360,0.650020012628
2380,0.650720492077
2400,0.6521795922
2420,0.652535860229
2440,0.653079651561
2460,0.654080653363
2480,0.655723348634
2500,0.655981022069
2520,0.657152689902
2540,0.657561024124
2560,0.658755378499
2580,0.660432811644
2600,0.660762449418
2620,0.661400309895
2640,0.663436596133
2660,0.664806284137
2680,0.666110255804
2700,0.666359947563
2720,0.666406411323
2740,0.666406411323
2760,0.666406411323
2780,0.666415900058
2800,0.668092013938
2820,0.668576224233
2840,0.668957373139
2860,0.669182031995
2880,0.67012295933
2900,0.670412280634
2920,0.673450324614
2940,0.675463931628
2960,0.67651631656
2980,0.676567795616
3000,0.678202654433
3020,0.678798431685
3040,0.678883659393
3060,0.67911734513
3080,0.681161443425
3100,0.68116693654
3120,0.681643263497
3140,0.681826308635
3160,0.68228459512
3180,0.68228459512
3200,0.684104327141
3220,0.686146072441
3240,0.686329511228
3260,0.686367476125
3280,0.68698482853
3300,0.687395376423
3320,0.688065790647
3340,0.68825741745
3360,0.688639013463
3380,0.689514597451
3400,0.691164078841
3420,0.691164078841
3440,0.691979323624
3460,0.692648112416
3480,0.692718250733
3500,0.693142561522
3520,0.693142561522
3540,0.6941121592
3560,0.694319446093
3580,0.694999154527
3600,0.695656839401
3620,0.695672886686
3640,0.697768978916
3660,0.697946997889
3680,0.69955893508
3700,0.699950409053
3720,0.700183152756
3740,0.700300026564
3760,0.700300026564
3780,0.700300026564
3800,0.70035232868
3820,0.700618062698
3840,0.701484324528
3860,0.702663516834
3880,0.703273083231
3900,0.704133487609
3920,0.704961937581
3940,0.705265707764
3960,0.70543199711
3980,0.706085326072
4000,0.706684796561
